10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: laceMoonStreet~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3bdb65c3b05e551d-28x28.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: sodaUpist~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-660f7aa236a0b866-21x30.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Hobbes~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-2cc21f5bd742070c-28x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: FuzzyOtterOO~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d141fc57f627432f-26x26.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Angrydsp~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-f7b1bfe96ce237e1-28x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Jrambo~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-f13dc30be019fda5-28x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: pengshoutPenguiN~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-fc85f34f78b93ce4-28x20.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: hctSgchoo~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-0cc6e1dec8b49ab7-56x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: logFace~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-77ab0f3085439742-28x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: cilGodsBePraised~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-fa3280e7d4ef07ce-28x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: blkGelatoSkip~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-2e0cf33c1ccffa6b-24x28.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlghots~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ff1c3641c9a91745-21x31.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgsweden~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-96b2372579ce4a07-32x26.png
10:39:11.311 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: mlgaustralia~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-108907aa161f59b0-32x26.png
